"Name","SamAccountName","UserPrincipalName","Enabled","WhenCreated","LastLogonDate","PasswordLastSet","AccountExpires","Department","Title","Manager","EmailAddress","DistinguishedName"
"User 1","user1","user1@corp.example.com","False","12/4/2024 9:35:45 AM","9/9/2025 9:35:45 AM","7/9/2025 9:35:45 AM",,"Legal","Lead","CN=Manager F ,OU=Users,DC=corp,DC=example,DC=com","user1@corp.example.com","CN=User 1,OU=Users,DC=corp,DC=example,DC=com"
"User 2","user2","user2@corp.example.com","True","10/5/2022 9:35:45 AM","10/2/2025 9:35:45 AM","10/8/2025 9:35:45 AM",,"Legal","Analyst","CN=Manager K ,OU=Users,DC=corp,DC=example,DC=com","user2@corp.example.com","CN=User 2,OU=Users,DC=corp,DC=example,DC=com"
"User 3","user3","user3@corp.example.com","False","8/28/2020 9:35:45 AM","7/25/2025 9:35:45 AM","10/19/2024 9:35:45 AM",,"Legal","Engineer","CN=Manager C ,OU=Users,DC=corp,DC=example,DC=com","user3@corp.example.com","CN=User 3,OU=Users,DC=corp,DC=example,DC=com"
"User 4","user4","user4@corp.example.com","True","1/9/2025 9:35:45 AM","8/12/2025 9:35:45 AM","3/27/2025 9:35:45 AM",,"IT","Lead","CN=Manager O ,OU=Users,DC=corp,DC=example,DC=com","user4@corp.example.com","CN=User 4,OU=Users,DC=corp,DC=example,DC=com"
"User 5","user5","user5@corp.example.com","False","5/9/2023 9:35:45 AM","7/26/2025 9:35:45 AM","2/6/2025 9:35:45 AM",,"Legal","Manager","CN=Manager W ,OU=Users,DC=corp,DC=example,DC=com","user5@corp.example.com","CN=User 5,OU=Users,DC=corp,DC=example,DC=com"
"User 6","user6","user6@corp.example.com","False","10/10/2020 9:35:45 AM","8/5/2025 9:35:45 AM","5/19/2025 9:35:45 AM",,"Ops","Lead","CN=Manager W ,OU=Users,DC=corp,DC=example,DC=com","user6@corp.example.com","CN=User 6,OU=Users,DC=corp,DC=example,DC=com"
"User 7","user7","user7@corp.example.com","True","5/19/2020 9:35:45 AM","9/4/2025 9:35:45 AM","2/5/2025 9:35:45 AM",,"Finance","Engineer","CN=Manager R ,OU=Users,DC=corp,DC=example,DC=com","user7@corp.example.com","CN=User 7,OU=Users,DC=corp,DC=example,DC=com"
"User 8","user8","user8@corp.example.com","True","10/22/2020 9:35:45 AM","9/23/2025 9:35:45 AM","7/10/2025 9:35:45 AM",,"HR","Analyst","CN=Manager C ,OU=Users,DC=corp,DC=example,DC=com","user8@corp.example.com","CN=User 8,OU=Users,DC=corp,DC=example,DC=com"
"User 9","user9","user9@corp.example.com","False","8/24/2021 9:35:45 AM","9/17/2025 9:35:45 AM","8/15/2025 9:35:45 AM",,"Ops","Manager","CN=Manager L ,OU=Users,DC=corp,DC=example,DC=com","user9@corp.example.com","CN=User 9,OU=Users,DC=corp,DC=example,DC=com"
"User 10","user10","user10@corp.example.com","True","11/3/2024 9:35:45 AM","9/23/2025 9:35:45 AM","7/30/2025 9:35:45 AM",,"HR","Manager","CN=Manager W ,OU=Users,DC=corp,DC=example,DC=com","user10@corp.example.com","CN=User 10,OU=Users,DC=corp,DC=example,DC=com"
"User 11","user11","user11@corp.example.com","True","3/23/2023 9:35:45 AM","8/9/2025 9:35:45 AM","1/16/2025 9:35:45 AM",,"IT","Analyst","CN=Manager E ,OU=Users,DC=corp,DC=example,DC=com","user11@corp.example.com","CN=User 11,OU=Users,DC=corp,DC=example,DC=com"
"User 12","user12","user12@corp.example.com","True","1/9/2023 9:35:45 AM","8/6/2025 9:35:45 AM","10/30/2024 9:35:45 AM",,"HR","Engineer","CN=Manager Y ,OU=Users,DC=corp,DC=example,DC=com","user12@corp.example.com","CN=User 12,OU=Users,DC=corp,DC=example,DC=com"
"User 13","user13","user13@corp.example.com","False","8/1/2023 9:35:45 AM","9/20/2025 9:35:45 AM","3/15/2025 9:35:45 AM",,"IT","Manager","CN=Manager Y ,OU=Users,DC=corp,DC=example,DC=com","user13@corp.example.com","CN=User 13,OU=Users,DC=corp,DC=example,DC=com"
"User 14","user14","user14@corp.example.com","False","8/4/2023 9:35:45 AM","10/8/2025 9:35:45 AM","7/2/2025 9:35:45 AM",,"Finance","Engineer","CN=Manager J ,OU=Users,DC=corp,DC=example,DC=com","user14@corp.example.com","CN=User 14,OU=Users,DC=corp,DC=example,DC=com"
"User 15","user15","user15@corp.example.com","True","12/14/2020 9:35:45 AM","7/22/2025 9:35:45 AM","2/9/2025 9:35:45 AM",,"Finance","Lead","CN=Manager U ,OU=Users,DC=corp,DC=example,DC=com","user15@corp.example.com","CN=User 15,OU=Users,DC=corp,DC=example,DC=com"
"User 16","user16","user16@corp.example.com","True","2/11/2023 9:35:45 AM","8/15/2025 9:35:45 AM","11/17/2024 9:35:45 AM",,"Finance","Lead","CN=Manager E ,OU=Users,DC=corp,DC=example,DC=com","user16@corp.example.com","CN=User 16,OU=Users,DC=corp,DC=example,DC=com"
"User 17","user17","user17@corp.example.com","True","8/16/2022 9:35:45 AM","9/17/2025 9:35:45 AM","12/17/2024 9:35:45 AM",,"HR","Engineer","CN=Manager G ,OU=Users,DC=corp,DC=example,DC=com","user17@corp.example.com","CN=User 17,OU=Users,DC=corp,DC=example,DC=com"
"User 18","user18","user18@corp.example.com","False","9/22/2021 9:35:45 AM","10/13/2025 9:35:45 AM","1/2/2025 9:35:45 AM",,"Legal","Manager","CN=Manager S ,OU=Users,DC=corp,DC=example,DC=com","user18@corp.example.com","CN=User 18,OU=Users,DC=corp,DC=example,DC=com"
"User 19","user19","user19@corp.example.com","True","10/6/2020 9:35:45 AM","8/4/2025 9:35:45 AM","7/25/2025 9:35:45 AM",,"HR","Analyst","CN=Manager Y ,OU=Users,DC=corp,DC=example,DC=com","user19@corp.example.com","CN=User 19,OU=Users,DC=corp,DC=example,DC=com"
"User 20","user20","user20@corp.example.com","False","10/18/2023 9:35:45 AM","8/6/2025 9:35:45 AM","9/5/2025 9:35:45 AM",,"Finance","Admin","CN=Manager X ,OU=Users,DC=corp,DC=example,DC=com","user20@corp.example.com","CN=User 20,OU=Users,DC=corp,DC=example,DC=com"
"User 21","user21","user21@corp.example.com","True","10/18/2021 9:35:45 AM","7/25/2025 9:35:45 AM","1/25/2025 9:35:45 AM",,"IT","Engineer","CN=Manager Q ,OU=Users,DC=corp,DC=example,DC=com","user21@corp.example.com","CN=User 21,OU=Users,DC=corp,DC=example,DC=com"
"User 22","user22","user22@corp.example.com","True","3/15/2021 9:35:45 AM","8/4/2025 9:35:45 AM","5/15/2025 9:35:45 AM",,"IT","Lead","CN=Manager N ,OU=Users,DC=corp,DC=example,DC=com","user22@corp.example.com","CN=User 22,OU=Users,DC=corp,DC=example,DC=com"
"User 23","user23","user23@corp.example.com","True","10/30/2021 9:35:45 AM","7/23/2025 9:35:45 AM","6/25/2025 9:35:45 AM",,"IT","Engineer","CN=Manager B ,OU=Users,DC=corp,DC=example,DC=com","user23@corp.example.com","CN=User 23,OU=Users,DC=corp,DC=example,DC=com"
"User 24","user24","user24@corp.example.com","True","2/11/2021 9:35:45 AM","9/13/2025 9:35:45 AM","10/2/2025 9:35:45 AM",,"IT","Lead","CN=Manager L ,OU=Users,DC=corp,DC=example,DC=com","user24@corp.example.com","CN=User 24,OU=Users,DC=corp,DC=example,DC=com"
"User 25","user25","user25@corp.example.com","False","8/18/2022 9:35:45 AM","10/13/2025 9:35:45 AM","8/24/2025 9:35:45 AM",,"Ops","Engineer","CN=Manager F ,OU=Users,DC=corp,DC=example,DC=com","user25@corp.example.com","CN=User 25,OU=Users,DC=corp,DC=example,DC=com"
