"Name","SamAccountName","UserPrincipalName","Enabled","WhenCreated","LastLogonDate","PasswordLastSet","AccountExpires","Department","Title","Manager","EmailAddress","DistinguishedName"
"User 1","user1","user1@corp.example.com","True","9/19/2023 9:22:39 AM","8/23/2025 9:22:39 AM","1/27/2025 9:22:39 AM",,"Legal","Analyst","CN=Manager M ,OU=Users,DC=corp,DC=example,DC=com","user1@corp.example.com","CN=User 1,OU=Users,DC=corp,DC=example,DC=com"
"User 2","user2","user2@corp.example.com","True","9/8/2021 9:22:39 AM","8/11/2025 9:22:39 AM","1/11/2025 9:22:39 AM",,"IT","Analyst","CN=Manager Q ,OU=Users,DC=corp,DC=example,DC=com","user2@corp.example.com","CN=User 2,OU=Users,DC=corp,DC=example,DC=com"
"User 3","user3","user3@corp.example.com","False","5/4/2024 9:22:39 AM","9/27/2025 9:22:39 AM","10/18/2024 9:22:39 AM",,"Finance","Engineer","CN=Manager I ,OU=Users,DC=corp,DC=example,DC=com","user3@corp.example.com","CN=User 3,OU=Users,DC=corp,DC=example,DC=com"
"User 4","user4","user4@corp.example.com","True","9/15/2022 9:22:39 AM","8/1/2025 9:22:39 AM","7/16/2025 9:22:39 AM",,"Legal","Admin","CN=Manager A ,OU=Users,DC=corp,DC=example,DC=com","user4@corp.example.com","CN=User 4,OU=Users,DC=corp,DC=example,DC=com"
"User 5","user5","user5@corp.example.com","True","12/5/2022 9:22:39 AM","9/9/2025 9:22:39 AM","9/13/2025 9:22:39 AM",,"Legal","Lead","CN=Manager M ,OU=Users,DC=corp,DC=example,DC=com","user5@corp.example.com","CN=User 5,OU=Users,DC=corp,DC=example,DC=com"
"User 6","user6","user6@corp.example.com","True","6/26/2023 9:22:39 AM","10/13/2025 9:22:39 AM","8/9/2025 9:22:39 AM",,"HR","Admin","CN=Manager P ,OU=Users,DC=corp,DC=example,DC=com","user6@corp.example.com","CN=User 6,OU=Users,DC=corp,DC=example,DC=com"
"User 7","user7","user7@corp.example.com","True","2/10/2022 9:22:39 AM","8/18/2025 9:22:39 AM","9/5/2025 9:22:39 AM",,"Ops","Analyst","CN=Manager E ,OU=Users,DC=corp,DC=example,DC=com","user7@corp.example.com","CN=User 7,OU=Users,DC=corp,DC=example,DC=com"
"User 8","user8","user8@corp.example.com","True","7/5/2023 9:22:39 AM","8/30/2025 9:22:39 AM","9/13/2025 9:22:39 AM",,"Finance","Analyst","CN=Manager K ,OU=Users,DC=corp,DC=example,DC=com","user8@corp.example.com","CN=User 8,OU=Users,DC=corp,DC=example,DC=com"
"User 9","user9","user9@corp.example.com","True","9/25/2022 9:22:39 AM","10/11/2025 9:22:39 AM","7/26/2025 9:22:39 AM",,"Legal","Analyst","CN=Manager T ,OU=Users,DC=corp,DC=example,DC=com","user9@corp.example.com","CN=User 9,OU=Users,DC=corp,DC=example,DC=com"
"User 10","user10","user10@corp.example.com","True","5/25/2020 9:22:39 AM","7/31/2025 9:22:39 AM","7/13/2025 9:22:39 AM",,"Finance","Engineer","CN=Manager G ,OU=Users,DC=corp,DC=example,DC=com","user10@corp.example.com","CN=User 10,OU=Users,DC=corp,DC=example,DC=com"
"User 11","user11","user11@corp.example.com","True","7/15/2022 9:22:39 AM","8/3/2025 9:22:39 AM","10/24/2024 9:22:39 AM",,"Finance","Manager","CN=Manager B ,OU=Users,DC=corp,DC=example,DC=com","user11@corp.example.com","CN=User 11,OU=Users,DC=corp,DC=example,DC=com"
"User 12","user12","user12@corp.example.com","True","1/13/2024 9:22:39 AM","8/20/2025 9:22:39 AM","2/8/2025 9:22:39 AM",,"IT","Analyst","CN=Manager B ,OU=Users,DC=corp,DC=example,DC=com","user12@corp.example.com","CN=User 12,OU=Users,DC=corp,DC=example,DC=com"
